Year,Month,Group,State,Condition Group,Condition,Age Group,COVID-19 Deaths,Number of Mentions
2021.0,2.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,404.0,412.0
2021.0,3.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,147.0,150.0
2021.0,4.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,74.0,78.0
2021.0,5.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,85.0,88.0
2021.0,6.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,53.0,53.0
2021.0,7.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,101.0,103.0
2021.0,8.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,717.0,723.0
2021.0,9.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,861.0,866.0
2021.0,10.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,402.0,414.0
2021.0,11.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,129.0,130.0
2021.0,12.0,By Month,Alabama,Respiratory diseases,Respiratory failure,All Ages,127.0,130.0
2020.0,2.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,0.0,0.0
2020.0,3.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,0.0,0.0
2020.0,4.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,14.0,14.0
2020.0,5.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,39.0,39.0
2020.0,6.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,32.0,32.0
2020.0,7.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,74.0,74.0
2020.0,8.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,71.0,71.0
2020.0,9.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,37.0,37.0
2020.0,10.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,39.0,39.0
2020.0,11.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,62.0,62.0
2020.0,12.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,158.0,158.0
2021.0,1.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,196.0,196.0
2021.0,2.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,86.0,86.0
2021.0,3.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,38.0,38.0
2021.0,4.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,24.0,24.0
2021.0,5.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,23.0,23.0
2021.0,6.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,15.0,15.0
2021.0,7.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,26.0,26.0
2021.0,8.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,175.0,175.0
2021.0,9.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,193.0,193.0
2021.0,10.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,89.0,89.0
2021.0,11.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,23.0,23.0
2021.0,12.0,By Month,Alabama,Respiratory diseases,Respiratory arrest,All Ages,21.0,21.0
2020.0,1.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,0.0,0.0
2020.0,2.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,0.0,0.0
2020.0,4.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,15.0,15.0
2020.0,6.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,17.0,17.0
2020.0,7.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,26.0,28.0
2020.0,8.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,34.0,34.0
2020.0,9.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,22.0,26.0
2020.0,10.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,22.0,22.0
2020.0,11.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,26.0,27.0
2020.0,12.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,71.0,74.0
2021.0,1.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,90.0,96.0
2021.0,2.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,54.0,56.0
2021.0,3.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,21.0,21.0
2021.0,5.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,13.0,13.0
2021.0,6.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,14.0,14.0
2021.0,7.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,10.0,11.0
2021.0,8.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,51.0,53.0
2021.0,9.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,75.0,76.0
2021.0,10.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,44.0,47.0
2021.0,11.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,22.0,24.0
2021.0,12.0,By Month,Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,12.0,12.0
2020.0,2.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,0.0,0.0
2020.0,4.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,52.0,52.0
2020.0,5.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,51.0,51.0
2020.0,6.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,35.0,35.0
2020.0,7.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,117.0,118.0
2020.0,8.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,105.0,108.0
2020.0,9.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,55.0,58.0
2020.0,10.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,51.0,51.0
2020.0,11.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,60.0,61.0
2020.0,12.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,170.0,172.0
2021.0,1.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,228.0,229.0
2021.0,2.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,108.0,109.0
2021.0,3.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,40.0,42.0
2021.0,4.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,29.0,29.0
2021.0,5.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,24.0,25.0
2021.0,6.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,14.0,14.0
2021.0,7.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,25.0,27.0
2021.0,8.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,145.0,146.0
2021.0,9.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,179.0,181.0
2021.0,10.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,64.0,66.0
2021.0,11.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,26.0,26.0
2021.0,12.0,By Month,Alabama,Circulatory diseases,Hypertensive diseases,All Ages,31.0,32.0
2020.0,1.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,0.0,0.0
2020.0,2.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,0.0,0.0
2020.0,4.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,31.0,35.0
2020.0,5.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,39.0,40.0
2020.0,6.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,32.0,34.0
2020.0,7.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,82.0,88.0
2020.0,8.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,82.0,92.0
2020.0,9.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,44.0,48.0
2020.0,10.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,49.0,50.0
2020.0,11.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,66.0,70.0
2020.0,12.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,152.0,164.0
2021.0,1.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,194.0,203.0
2021.0,2.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,73.0,78.0
2021.0,3.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,31.0,33.0
2021.0,4.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,17.0,18.0
2021.0,5.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,19.0,20.0
2021.0,6.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,10.0,12.0
2021.0,7.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,16.0,16.0
2021.0,8.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,100.0,108.0
2021.0,9.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,122.0,134.0
2021.0,10.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,56.0,63.0
2021.0,11.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,22.0,25.0
2021.0,12.0,By Month,Alabama,Circulatory diseases,Ischemic heart disease,All Ages,26.0,28.0
2020.0,2.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,0.0,0.0
2020.0,4.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,43.0,43.0
2020.0,5.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,60.0,60.0
2020.0,6.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,68.0,68.0
2020.0,7.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,116.0,116.0
2020.0,8.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,128.0,128.0
2020.0,9.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,61.0,61.0
2020.0,10.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,68.0,68.0
2020.0,11.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,115.0,115.0
2020.0,12.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,287.0,287.0
2021.0,1.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,370.0,371.0
2021.0,2.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,171.0,171.0
2021.0,3.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,71.0,71.0
2021.0,4.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,37.0,37.0
2021.0,5.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,34.0,34.0
2021.0,6.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,26.0,26.0
2021.0,7.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,45.0,45.0
2021.0,8.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,298.0,298.0
2021.0,9.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,348.0,348.0
2021.0,10.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,164.0,164.0
2021.0,11.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,46.0,46.0
2021.0,12.0,By Month,Alabama,Circulatory diseases,Cardiac arrest,All Ages,48.0,48.0
2020.0,2.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,0.0,0.0
2020.0,4.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,24.0,25.0
2020.0,5.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,27.0,27.0
2020.0,6.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,18.0,18.0
2020.0,7.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,60.0,61.0
2020.0,8.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,58.0,59.0
2020.0,9.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,31.0,32.0
2020.0,10.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,33.0,37.0
2020.0,11.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,64.0,67.0
2020.0,12.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,122.0,123.0
2021.0,1.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,181.0,185.0
2021.0,2.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,59.0,60.0
2021.0,3.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,27.0,27.0
2021.0,5.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,11.0,11.0
2021.0,7.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,11.0,11.0
2021.0,8.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,106.0,109.0
2021.0,9.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,117.0,120.0
2021.0,10.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,55.0,56.0
2021.0,11.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,21.0,21.0
2021.0,12.0,By Month,Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,20.0,20.0
2020.0,1.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,0.0,0.0
2020.0,2.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,0.0,0.0
2020.0,4.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,23.0,23.0
2020.0,5.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,36.0,36.0
2020.0,6.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,16.0,16.0
2020.0,7.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,58.0,58.0
2020.0,8.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,55.0,55.0
2020.0,9.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,35.0,35.0
2020.0,10.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,38.0,38.0
2020.0,11.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,50.0,50.0
2020.0,12.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,128.0,128.0
2021.0,1.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,165.0,165.0
2021.0,2.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,59.0,59.0
2021.0,3.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,23.0,23.0
2021.0,4.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,17.0,17.0
2021.0,5.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,10.0,10.0
2021.0,7.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,17.0,17.0
2021.0,8.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,78.0,78.0
2021.0,9.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,95.0,95.0
2021.0,10.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,47.0,48.0
2021.0,11.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,24.0,24.0
2021.0,12.0,By Month,Alabama,Circulatory diseases,Heart failure,All Ages,22.0,22.0
2020.0,1.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,0.0,0.0
2020.0,2.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,0.0,0.0
2020.0,4.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,20.0,20.0
2020.0,5.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,22.0,22.0
2020.0,6.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,23.0,23.0
2020.0,7.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,30.0,30.0
2020.0,8.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,41.0,43.0
2020.0,9.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,21.0,21.0
2020.0,10.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,27.0,28.0
2020.0,11.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,27.0,27.0
2020.0,12.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,72.0,74.0
2021.0,1.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,106.0,107.0
2021.0,2.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,45.0,50.0
2021.0,3.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,22.0,22.0
2021.0,4.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,11.0,11.0
2021.0,6.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,10.0,10.0
2021.0,7.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,15.0,18.0
2021.0,8.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,53.0,55.0
2021.0,9.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,58.0,58.0
2021.0,10.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,31.0,33.0
2021.0,11.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,12.0,12.0
2021.0,12.0,By Month,Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,25.0,26.0
2020.0,4.0,By Month,Alabama,Circulatory diseases,Other diseases of the circulatory system,All Ages,18.0,22.0
2020.0,5.0,By Month,Alabama,Circulatory diseases,Other diseases of the circulatory system,All Ages,27.0,30.0
2020.0,6.0,By Month,Alabama,Circulatory diseases,Other diseases of the circulatory system,All Ages,15.0,18.0
2020.0,7.0,By Month,Alabama,Circulatory diseases,Other diseases of the circulatory system,All Ages,42.0,46.0
2020.0,8.0,By Month,Alabama,Circulatory diseases,Other diseases of the circulatory system,All Ages,61.0,66.0
2020.0,9.0,By Month,Alabama,Circulatory diseases,Other diseases of the circulatory system,All Ages,40.0,42.0
2020.0,10.0,By Month,Alabama,Circulatory diseases,Other diseases of the circulatory system,All Ages,35.0,40.0
